gene,log2FoldChange,pvalue,padj
SLC7A1,-2.019937452,0.007271983,0.044306968
BHLHE22,3.335848653,0.007304578,0.044479401
FMNL1,2.579600054,0.007305108,0.044479401
CDK10,2.446895982,0.007308516,0.044485466
RFX8,4.422363795,0.007322723,0.044549058
SLC26A3,4.685261335,0.007323795,0.044549058
BCL2L14,4.339765099,0.007331013,0.044578261
BCL2L14,4.339765099,0.007331013,0.044578261
PTPRT,3.327365664,0.007339095,0.044612699
EXD1,6.454114975,0.007341994,0.044615616
NEUROD4,10.48932014,0.007346773,0.044629953
COL21A1,2.79500593,0.00736165,0.044705602
NELL2,3.318942664,0.007371172,0.044740071
CDK5R2,3.169082758,0.007372178,0.044740071
HPN,4.311842243,0.00737525,0.044743994
MYT1,3.602379511,0.007381901,0.044769616
MYT1,3.602379511,0.007381901,0.044769616
HNRNPK,-1.547250965,0.007387157,0.044786764
EYA1,3.958478321,0.007411884,0.044920895
NOX3,10.47750113,0.007414152,0.044920895
SDF2,-2.194041417,0.007416975,0.044923243
CMTM3,-2.100741022,0.007422363,0.044941117
EGR3,2.359559552,0.007435891,0.045008253
MICAL3,1.557103877,0.007443095,0.045037072
PNMA3,4.595915814,0.007461718,0.045134948
TIAM2,2.88835586,0.007484173,0.045255938
C1QTNF12,5.323759794,0.007488102,0.045258031
LMBRD2,-2.199872951,0.007489427,0.045258031
VPS9D1,2.663203788,0.007494906,0.0452632
PSME4,1.476659856,0.007498357,0.0452632
HEPH,1.946967305,0.007499858,0.0452632
SRD5A3-AS1,5.100359226,0.0075001,0.0452632
SEC14L3,7.299985979,0.007516737,0.045348765
USP40,1.666806208,0.007542487,0.045489235
OPHN1,2.143558522,0.007545294,0.045491292
MRGPRD,10.45356042,0.007552351,0.045504085
IL36A,10.45356042,0.007552351,0.045504085
MRPL49,-2.631983659,0.007594243,0.045741549
NPEPL1,1.456144943,0.007603542,0.045782609
OSBPL8,-1.590849893,0.007616219,0.045843971
MYO1A,3.807998137,0.007627319,0.045895806
PNPLA7,2.311153615,0.007640987,0.045963054
TBX15,3.812365378,0.007665818,0.046088334
BMP15,6.662612388,0.007666812,0.046088334
SCN4A,4.856692519,0.007682345,0.046166664
GTF2H2,5.426106245,0.007686865,0.046173744
GTF2H2,5.426106245,0.007686865,0.046173744
GTF2H2,5.426106245,0.007686865,0.046173744
EPGN,6.761063264,0.007688531,0.046173744
KCNV1,3.856528973,0.007695558,0.046193389
ZFTA,1.585637674,0.007696811,0.046193389
GATA4,6.657385318,0.007720527,0.046320648
GATA4,6.657385318,0.007720527,0.046320648
CYP4A11,3.781025698,0.007734044,0.046375441
OPN4,3.738875312,0.007734688,0.046375441
RPL30,-2.152601545,0.007737865,0.046379413
FHIP1A,4.602994398,0.007746081,0.046413571
GADD45B,-2.995710363,0.007760684,0.046485969
CABLES2,2.845852238,0.007800817,0.046711191
LMF1,1.621539542,0.007816663,0.046790884
TNFSF14,-5.658600197,0.007824412,0.046822073
CXCL9,4.061467548,0.007828542,0.046828633
GTF2B,-2.097040862,0.007830586,0.046828633
CD207,10.40319817,0.007850701,0.046916381
ODF2L,2.132516212,0.007851496,0.046916381
NEK5,3.690276873,0.007852891,0.046916381
FGF7,6.012001104,0.007881089,0.047069597
PTPRF,2.919178491,0.007884414,0.047074216
LINC00229,7.556197173,0.007892957,0.047106966
PDZD3,4.104004577,0.007895008,0.047106966
AANAT,3.561890382,0.007902711,0.047127934
HARS1,1.155965632,0.007903633,0.047127934
GPSM2,2.244013709,0.007915369,0.047182661
GYPB,10.39063851,0.007926745,0.047235207
NOTCH4,2.32498841,0.007933416,0.047259688
NOTCH4,2.32498841,0.007933416,0.047259688
NOTCH4,2.32498841,0.007933416,0.047259688
NOTCH4,2.32498841,0.007933416,0.047259688
NOTCH4,2.32498841,0.007933416,0.047259688
NOTCH4,2.32498841,0.007933416,0.047259688
NOTCH4,2.32498841,0.007933416,0.047259688
SYNE1,-1.242980421,0.007952423,0.047350455
PBLD,2.959993833,0.007953788,0.047350455
CAT,-2.061887579,0.007970823,0.047436555
ANKRD44,-3.032787866,0.007977015,0.047458095
NAA20,-1.872728102,0.007985347,0.047492342
CARD9,-3.446459963,0.007989348,0.047500823
MARCHF10,5.89925429,0.007996507,0.04752806
PPP1R13L,2.01640033,0.008000196,0.047534672
MAGEC1,10.37796514,0.008004153,0.047542862
IGSF3,5.118172374,0.008017037,0.04760406
ZFHX4,3.585638627,0.008021543,0.047615485
COMMD6,-2.04485499,0.008028365,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
TRIM31,6.2738243,0.008029415,0.047624781
LINC00937,4.297415542,0.008030855,0.047624781
PMS2P4,2.583358223,0.008085144,0.047931313
LINC00661,5.864926753,0.008110254,0.048054617
LOXL2,2.480438693,0.008112697,0.048054617
SUPT4H1,-2.547542611,0.008114546,0.048054617
YTHDF3,-1.217891152,0.008117181,0.048054617
COL3A1,2.427907859,0.008118971,0.048054617
SCRT1,3.567360708,0.008136058,0.048139194
SCRT1,3.567360708,0.008136058,0.048139194
SERTAD2,-1.725454171,0.008138481,0.048139194
HNRNPAB,1.100223036,0.008145626,0.048157539
ANKRD36BP1,-4.3374293,0.008146805,0.048157539
PDP1,-2.113802354,0.008157703,0.048206507
DPP6,3.059879698,0.008181761,0.048333188
KATNAL2,2.154515241,0.008186111,0.0483434
CCNB3,3.438687616,0.008206335,0.048447323
BASP1P1,3.185353505,0.008225038,0.048542199
IGFBP1,4.817428119,0.00823692,0.048596774
UMODL1,4.756974874,0.008269401,0.048772806
STOML1,2.00014137,0.008282488,0.048834374
C20orf173,4.289527834,0.00828998,0.048862926
SLBP,-1.745479049,0.008302602,0.048911073
LRRN1,4.536782621,0.008304364,0.048911073
ZNF805,-2.208657093,0.008306104,0.048911073
NCF1,-2.276414788,0.008314485,0.048944799
PPP1R1C,5.804848991,0.008323536,0.048981723
PROSER3,2.534241867,0.00832607,0.048981723
CAPN15,1.584981962,0.008329521,0.048986405
CAPN15,1.584981962,0.008329521,0.048986405
KCNH1,3.149876036,0.008350019,0.049085489
KIF22,3.410344038,0.008351693,0.049085489
CTIF,1.449433393,0.008355586,0.049092729
CTIF,1.449433393,0.008355586,0.049092729
ABCA10,4.263379995,0.008360055,0.049103342
ARHGEF5,2.686267011,0.008363923,0.049107989
ARHGEF5,2.686267011,0.008363923,0.049107989
ATP6V0CP3,6.158014504,0.00836704,0.049107989
DAPK3,1.418720701,0.008368834,0.049107989
APLP2,-1.559044524,0.008387056,0.049199263
PTDSS1,-2.081715917,0.008391744,0.049211111
CERT1,-1.695823612,0.008397806,0.049231005
CYLD,-1.108015034,0.008403896,0.049251052
TPRXL,4.531378105,0.008411568,0.049258318
NR1D2,-1.797072884,0.008414162,0.049258318
KCNK10,5.272986771,0.008414937,0.049258318
SLC17A1,10.3116129,0.008420682,0.049258318
LOC100289473,5.077699325,0.008422187,0.049258318
NLRP14,4.795037226,0.008422445,0.049258318
B3GNT5,-2.971331352,0.008427738,0.049258318
ARSH,10.31041212,0.008428397,0.049258318
TMED10P1,-1.82640155,0.008429174,0.049258318
NKX6-3,6.210841523,0.008447186,0.049347941
DSC2,-2.088423114,0.008458766,0.049399946
DPP3,1.532605363,0.0084615,0.049400269
PLXND1,1.416026867,0.008471777,0.049431008
DSE,-2.076119523,0.008472126,0.049431008
ALPK3,1.633556642,0.008480391,0.049463585
CFAP65,4.714350692,0.008501359,0.049558007
TDO2,6.040436837,0.008501954,0.049558007
TDO2,6.040436837,0.008501954,0.049558007
TACSTD2,4.376555614,0.008537642,0.049747771
ANKRD18B,4.708613288,0.008539904,0.049747771
CRTAC1,4.187042982,0.0085442,0.049757083
TPBGL,3.832808237,0.00854785,0.049762627
ITGAL,-2.146949937,0.008558255,0.049799864
SNORA84,-4.121915475,0.008559647,0.049799864
MIF4GD,-2.363545275,0.008590364,0.049962814
LYL1,-1.944954085,0.008600888,0.050008253
MXD1,-2.296007157,0.008609197,0.050034732
HOXB5,10.28229712,0.008610868,0.050034732
RAP2C,2.313800518,0.008616397,0.05005109
SLC6A14,7.37471795,0.008644766,0.050200068
PARP8,-3.031759082,0.008653323,0.050233941
GPSM1,1.713056208,0.008679062,0.050367508
OR4C6,10.27102152,0.008685045,0.050370527
OR1L1,10.27102152,0.008685045,0.050370527
RPL18,-1.286946911,0.008704705,0.050468683
ETV2,3.644649673,0.008714425,0.050509156
PSMB11,10.05643543,0.008719147,0.050516555
PNPLA5,6.09743887,0.008721179,0.050516555
CTSS,-2.55234028,0.008726456,0.05053125
CSK,-1.801912425,0.008737728,0.050580191
TRABD2B,2.396522593,0.008740393,0.050580191
RBMS3,-1.706642923,0.008745606,0.050594484
UBE2C,7.515093142,0.008761363,0.050653862
SOST,7.515093142,0.008761363,0.050653862
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
KIR3DL1,9.164770045,0.008782525,0.050760299
MAPK1,-1.600784214,0.008788553,0.050779225
ZSCAN30,1.811192044,0.008805144,0.050859153
KCNC2,4.139286434,0.008841015,0.051043719
STAR,4.499663273,0.008843608,0.051043719
FAM238C,4.82321222,0.008845401,0.051043719
HDAC1,1.163790716,0.008850305,0.051056042
SIX4,4.671912441,0.00885718,0.051069404
ZNF461,2.653991655,0.008858159,0.051069404
TARP,-4.33164291,0.008862046,0.051075848
NPHP3,1.446799795,0.008876214,0.051101139
TSPAN7,2.409853393,0.008892512,0.051101139
LPGAT1,-1.205731922,0.008895658,0.051101139
TNFRSF11B,2.797844701,0.008898574,0.051101139
KLHL18,-1.362347738,0.008899759,0.051101139
CLEC4G,6.099818694,0.008901562,0.051101139
NPBWR2,10.23793508,0.008906043,0.051101139
NPBWR2,10.23793508,0.008906043,0.051101139
LINC02593,8.627695968,0.008907995,0.051101139
CGA,8.627695968,0.008907995,0.051101139
MRGPRX3,8.627695968,0.008907995,0.051101139
OR2M4,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
OR2W1,8.627695968,0.008907995,0.051101139
C11orf53,8.627695968,0.008907995,0.051101139
GLUD1P2,8.627695968,0.008907995,0.051101139
POF1B,8.627695968,0.008907995,0.051101139
CENPV,2.796675219,0.008913745,0.051118223
LINC01568,3.833138172,0.008917922,0.051126277
KCNJ1,4.233798636,0.008926486,0.051159474
PNMA5,6.353910321,0.008940035,0.051177921
NAALADL1,2.936964677,0.008940767,0.051177921
FAM102B,-1.960220926,0.008944141,0.051177921
PRAMEF12,7.493419374,0.008946534,0.051177921
LACRT,7.493419374,0.008946534,0.051177921
RNY5,3.294475457,0.008947633,0.051177921
CANX,-1.114847609,0.008949161,0.051177921
CANX,-1.114847609,0.008949161,0.051177921
CAPZB,-1.989836474,0.008951904,0.051177921
PCDHAC1,4.862395613,0.008961465,0.051216703
WRAP53,4.013209152,0.008965683,0.051224935
GPR83,4.546361371,0.008983754,0.051307758
LINC00999,2.371662613,0.008987777,0.051307758
NUAK2,-1.969271535,0.008988525,0.051307758
TTLL5,1.416084138,0.009028173,0.051492705
GSPT2,-1.950019232,0.009031713,0.051492705
ANKRD33B,1.937315736,0.009034645,0.051492705
CCDC153,4.699726611,0.009034739,0.051492705
RNF144B,-1.449999131,0.009034886,0.051492705
PIH1D2,4.898314486,0.009051075,0.051569039
SLC37A2,-3.25811247,0.009084548,0.051734162
LINC01750,10.21127005,0.009087828,0.051734162
ESPNL,4.23491451,0.009088472,0.051734162
AGBL1,10.21032325,0.009094344,0.051751614
NDRG2,-2.246583034,0.009097892,0.051755835
EPB41L5,-1.948413435,0.009108716,0.051801434
MYO1F,-1.761317039,0.009117014,0.051824917
COX6A1,-3.328656509,0.009118465,0.051824917
SNORA6,-1.475218107,0.009124939,0.051845735
SNX1,-1.119854811,0.009143912,0.051892224
PHF14,1.311571038,0.009144957,0.051892224
DAOA-AS1,5.496215029,0.009147183,0.051892224
ANO4,3.512809775,0.009148364,0.051892224
ANO4,3.512809775,0.009148364,0.051892224
MAPK8IP1,4.393794582,0.009148961,0.051892224
TM6SF1,-1.717265159,0.009150003,0.051892224
TMED6,4.685440654,0.009162907,0.05194943
GLIS3,1.851166196,0.009184676,0.051994553
KCNS1,4.576660576,0.009188609,0.051994553
FAM225B,7.474663412,0.0091906,0.051994553
OR10Q1,7.474663412,0.0091906,0.051994553
NPY2R,7.474663412,0.0091906,0.051994553
TTLL2,7.474663412,0.0091906,0.051994553
RAX2,7.474663412,0.0091906,0.051994553
MCFD2,-1.485927689,0.00920743,0.052062223
TM2D1,-2.150333807,0.009208208,0.052062223
AADACL2,10.18495349,0.00927051,0.052398411
AADACL2,10.18495349,0.00927051,0.052398411
SERPINB4,10.17683808,0.009327509,0.052704426
PWWP2B,2.304577674,0.009334109,0.052725564
ABLIM2,2.768788994,0.009346405,0.052767295
SCTR,4.757994791,0.009347219,0.052767295
ACSM1,5.005532936,0.009398041,0.053037967
H1-10-AS1,3.277606182,0.00940823,0.053077216
ENTPD1-AS1,4.01324485,0.009414551,0.053077216
C22orf31,6.59231015,0.009415656,0.053077216
IVD,-2.09927543,0.009418058,0.053077216
PAPPA,3.416919454,0.009419386,0.053077216
B4GALNT4,3.819324384,0.009452915,0.053249881
FAM156B,4.801542994,0.009471059,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
HLA-DMA,-1.549941713,0.009471494,0.053321965
C14orf180,5.483947907,0.0095,0.053466128
C14orf180,5.483947907,0.0095,0.053466128
ZNF654,-1.682035424,0.009503218,0.05346792
UTF1,5.059830129,0.009515559,0.05352103
HOXB2,3.778243232,0.009523007,0.053534338
TFDP2,-1.656990598,0.009523731,0.053534338
ATXN7L3B,-1.774292541,0.009528641,0.053545621
SCNN1A,2.867931174,0.009541386,0.05358688
ARL2BP,-2.31507248,0.009541794,0.05358688
HACD3,-1.768609097,0.009550708,0.053620614
PUS7,1.985045346,0.009570546,0.053715637
NCAPD3,2.639871669,0.009584434,0.05377686
DLG5,1.269189094,0.009587286,0.05377686
DLG5,1.269189094,0.009587286,0.05377686
SGSM1,2.226346404,0.009623447,0.053963282
WDR90,2.199709794,0.009641657,0.054032897
PRDX3,-2.00423955,0.009641721,0.054032897
DGCR2,-1.989033701,0.009664126,0.054142006
LOC100507250,4.092701674,0.00967925,0.054200875
MYH8,5.538925259,0.009680866,0.054200875
PRKAR2A,-1.420104463,0.009684249,0.054200875
EOMES,4.555014491,0.00968639,0.054200875
S100A3,7.196749512,0.009702049,0.054272032
TMEM67,2.885775593,0.009710651,0.054300953
CENPE,2.611925642,0.009713108,0.054300953
CALCB,7.203043071,0.009723537,0.054342787
ZNF521,2.095303938,0.009733113,0.054370067
CEP112,1.678851988,0.009734314,0.054370067
PRSS16,5.115279376,0.009746477,0.05442152
C1orf56,2.22185823,0.009760216,0.05442954
HCST,-4.607596767,0.009760964,0.05442954
CRP,4.294113064,0.009761098,0.05442954
P3H3,1.733177306,0.00976246,0.05442954
AXL,-2.879612596,0.00976267,0.05442954
ARHGEF33,3.245159816,0.009795716,0.054587918
C8orf48,3.921459931,0.009796997,0.054587918
CNTNAP4,3.33315143,0.009805235,0.054600337
ATP10B,2.910620067,0.009806648,0.054600337
LINC01235,4.481418128,0.009808107,0.054600337
SSTR3,6.090938738,0.009823539,0.05466907
PNP,2.190800795,0.009829165,0.05466907
AQP4-AS1,5.815407897,0.009829346,0.05466907
TMEM132E-DT,6.141620082,0.009842719,0.05471187
LZIC,-2.508516305,0.009845833,0.05471187
ZNF652,-1.392003391,0.009845941,0.05471187
MAN2B1,-1.463386368,0.009867366,0.054814405
NT5E,1.970817489,0.00988263,0.054882672
CACNG4,3.38615822,0.009888223,0.0548972
ATL2,-1.90907977,0.009903409,0.054964965
PTHLH,5.285499247,0.009909869,0.054984268
ELK1,-2.034726524,0.009918147,0.055013648
GAR1,2.897515545,0.009928391,0.055046809
PARD6G-AS1,2.728486249,0.009930094,0.055046809
COL5A2,1.706111197,0.009935443,0.055059909
DNAH12,3.676434557,0.009944663,0.055094448
NFS1,2.276209727,0.009956357,0.055142673
RTN3,-1.873989282,0.010000705,0.055371659
AGFG2,2.022589899,0.010028702,0.055510009
CCDC85A,2.181760298,0.010041191,0.055550952
TRIM60,6.453181259,0.010042123,0.055550952
RAB40B,-3.606846341,0.010051729,0.055587419
SBNO2,1.377943663,0.010058502,0.055587443
SBNO2,1.377943663,0.010058502,0.055587443
TSG1,3.236586084,0.010059685,0.055587443
GLB1L2,3.74887976,0.010060776,0.055587443
WDR86,2.631540739,0.010074749,0.05564798
LINC00645,6.422184009,0.010078455,0.055651781
CASZ1,3.110083158,0.010087595,0.055685575
HAUS5,1.774017332,0.010091466,0.055690277
PFKP,1.804095989,0.010111802,0.05578581
VSTM2B-DT,4.500832467,0.010121096,0.055820387
OR9Q1,6.281565169,0.010136612,0.055872544
C4orf17,6.281565169,0.010136612,0.055872544
ZBED3-AS1,2.612616158,0.010140314,0.055876249
MAP3K6,2.320920673,0.010150644,0.055916468
LDHC,5.884426005,0.010189929,0.056116114
TMX1,-2.213636838,0.010194146,0.05612258
SNORA20,-2.462251748,0.010245503,0.056388486
ZIC3,-3.344376132,0.010267888,0.056494827
CEP20,-2.303450952,0.010273303,0.05650776
CEP20,-2.303450952,0.010273303,0.05650776
BMP7,4.86499598,0.010291313,0.056578985
WAS,-2.604816963,0.010293992,0.056578985
LINC00331,5.551651302,0.010295455,0.056578985
GRN,-1.650720763,0.01037149,0.056979858
ADAMTS10,1.436594264,0.010375334,0.056984002
NTN4,2.431141154,0.010384467,0.057017186
IL36B,6.478014613,0.010398302,0.057061084
RGS7,4.877024246,0.01039865,0.057061084
ILF3-DT,-2.528023067,0.010430804,0.057220498
GFRA2,2.906152561,0.010452304,0.057321391
TMEM229A,3.576422669,0.010456679,0.057328338
EIPR1,1.780710744,0.010464743,0.057355499
PGAP4,-4.629489203,0.010472014,0.057356766
LBX2-AS1,2.674884842,0.010474492,0.057356766
TMEM221,4.862623735,0.010477003,0.057356766
SCN2B,3.794741166,0.010479677,0.057356766
ICAM1,-2.104578028,0.010480524,0.057356766
PBX1-AS1,3.869717786,0.010487639,0.057378681
GJD4,5.035722954,0.010501564,0.057437825
DNAH3,4.197064971,0.010513354,0.057480393
GNB2,2.125163034,0.01051558,0.057480393
TMPRSS9,3.423727518,0.010554464,0.057671631
LINC01446,5.747324558,0.01055682,0.057671631
SHPK,-2.057305001,0.010580037,0.057769685
STK19,1.812374954,0.010581033,0.057769685
STK19,1.812374954,0.010581033,0.057769685
STK19,1.812374954,0.010581033,0.057769685
STK19,1.812374954,0.010581033,0.057769685
STK19,1.812374954,0.010581033,0.057769685
STK19,1.812374954,0.010581033,0.057769685
LINC02389,6.584663804,0.010586432,0.057782054
SLC35A4,-2.13440289,0.010613562,0.057907023
STIL,2.032981851,0.010615763,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
KIR3DL2,7.201628354,0.010618747,0.057907023
ST3GAL2,2.459696419,0.010627038,0.057935106
KLHL15,-2.894784198,0.01064982,0.058014969
OR5P2,7.181183701,0.010651124,0.058014969
OR5P2,7.181183701,0.010651124,0.058014969
OR5P2,7.181183701,0.010651124,0.058014969
CACNG6,7.181183701,0.010651124,0.058014969
PTPN5,3.747009366,0.010656547,0.05802737
THOC3,2.613030991,0.01066315,0.058046187
SLC39A8,-2.294739581,0.010683051,0.058137361
IGSF22,2.140837844,0.010693333,0.05817615
GLUL,-1.241385066,0.010706522,0.058230725
SNORA48,-2.108943448,0.010715721,0.058263575
SEMA5A,-2.222284834,0.010729206,0.058304048
ZP4,7.412598616,0.0107322,0.058304048
PTPRR,3.005279709,0.010735279,0.058304048
LGALS3,-1.947249555,0.010736601,0.058304048
CCL18,5.748395823,0.010738972,0.058304048
CCL18,5.748395823,0.010738972,0.058304048
CCL18,5.748395823,0.010738972,0.058304048
PLEKHM1P1,1.810451456,0.010743025,0.058305262
DNAH5,3.394110792,0.010745518,0.058305262
PRKACB,-1.763147921,0.010756799,0.058339741
GDF6,5.983032267,0.010758199,0.058339741
ATP6AP1,-1.559696395,0.010778452,0.058417518
DNAJC12,4.69120502,0.010781034,0.058417518
ZC3H12B,3.247658459,0.010782044,0.058417518
MIR3609,-2.566331377,0.010813506,0.058541067
SYDE2,3.343056221,0.010813848,0.058541067
HPDL,5.229422733,0.010816057,0.058541067
ITGA10,2.012213306,0.010817544,0.058541067
LINC00472,1.293636139,0.010844511,0.05865465
MIR100HG,-4.422227006,0.010847134,0.05865465
NHLRC3,-1.918803028,0.010848073,0.05865465
RND3,-1.650049106,0.010856644,0.058683787
MINDY1,-1.631584466,0.010860685,0.058688429
PLAAT3,-2.557634727,0.010881192,0.058782023
GPR12,7.212418686,0.010896037,0.058833601
FBXW9,4.193096029,0.01089712,0.058833601
REEP4,-2.52107633,0.010905149,0.058846023
SLC10A3,-2.334058844,0.010905802,0.058846023
C12orf42,3.041079641,0.01092008,0.058905829
IL10RB,-2.157262582,0.010954389,0.059073624
IL1RN,-2.97385031,0.010971025,0.059146046
NOS2,3.986419696,0.010980612,0.059180427
ATP6V1B2,-1.260823248,0.011007667,0.059292368
CTHRC1,2.163185076,0.011007811,0.059292368
SCAMP5,2.360401213,0.011017867,0.059316965
IL17F,5.869681092,0.011018811,0.059316965
SPI1,-2.114490342,0.011035717,0.059390642
ALPK2,3.640736661,0.01106639,0.059538338
RHEX,5.826980481,0.011078738,0.059587389
SEC1P,4.22022514,0.01110163,0.059693109
LYZ,-2.395699935,0.011112915,0.05973637
NXPE4,7.514210353,0.011117261,0.05974232
TNFRSF10C,-3.053329945,0.0111296,0.059791206
MAPK8IP3,1.767626968,0.011140985,0.05983494
ERAP1,-1.272619356,0.011155792,0.059850093
MIR1-1HG,3.968742338,0.011159285,0.059850093
LRP3,-2.203551946,0.011162476,0.059850093
ZNF117,1.276822988,0.011162594,0.059850093
ABRA,4.744891502,0.011164753,0.059850093
NDST3,3.676081194,0.011166409,0.059850093
RTCB,-1.623884152,0.011166522,0.059850093
ADORA3,-2.568791667,0.011175417,0.059880363
LEFTY2,8.922591466,0.011180748,0.059891531
MEIS3P1,-3.276982485,0.011187478,0.059896563
POGLUT2,2.952742842,0.011188495,0.059896563
MRPL44,-2.278839839,0.011191431,0.059896563
FASN,1.416288653,0.011204775,0.059950587
GABRP,4.887680914,0.011230913,0.060062274
CD300LF,-3.403743316,0.011232163,0.060062274
CFAP107,5.688957161,0.011240123,0.060087415
SPATA31C2,6.069942517,0.011248703,0.06011586
FBXO41,2.847771217,0.011272854,0.060223199
CAPZA1,-1.409146966,0.011275319,0.060223199
GNGT2,-3.893013812,0.01129563,0.060314219
ARHGAP35,-1.539399239,0.011306832,0.060356558
PARD6B,3.060824917,0.011313648,0.060370125
SAP30,1.791336193,0.011315921,0.060370125
LOC100506124,5.422031283,0.011322559,0.060388072
TP53AIP1,5.524793952,0.011354211,0.060539378
CFAP45,2.244494028,0.011358404,0.060544132
SLC9A5,3.327923678,0.011361668,0.060544132
BICDL1,2.771477984,0.011374144,0.060593106
ATG4C,-2.074864405,0.011402328,0.060725711
TMEM222,2.048408215,0.011433247,0.060853926
WDR87,4.28266102,0.011434122,0.060853926
ENDOD1,-2.302253326,0.011436302,0.060853926
POMC,-4.616578623,0.01144733,0.060888245
